id,title,genre,budget,revenue,production_companies,united_states,english,title_change,popularity,vote_average,vote_count,month,year,runtime,successful
2368,Legends of Oz: Dorothy's Return,Animation,70000000,18662027,2,Yes,Yes,No,6.682006,5.9,43,6,2013,88,0
2369,A Separation,Drama,800000,0,3,No,No,Yes,12.049373,7.7,469,3,2011,123,0
2370,Hansel & Gretel: Witch Hunters,Action,50000000,224803475,6,Yes,Yes,No,53.02787,5.7,3239,1,2013,88,1
2371,Diary of a Wimpy Kid: Rodrick Rules,Comedy,21000000,72417394,2,Yes,Yes,No,14.329891,6.3,238,3,2011,99,1
2372,Moneyball,Drama,50000000,110206216,2,Yes,Yes,No,46.180421,7,1381,9,2011,133,1
2373,The Conspirator,Drama,25000000,15478800,2,Yes,Yes,No,9.169271,6.2,137,9,2010,122,0
2374,Like Crazy,Drama,250000,3542353,5,Yes,Yes,No,21.825564,6.4,381,10,2011,90,1
2375,Circumstance,Drama,0,0,3,Yes,Yes,No,2.34239,7.4,23,8,2011,107,0
2376,Another Happy Day,Drama,4000000,355688,1,Yes,Yes,No,3.238466,6.2,37,11,2011,119,0
2377,Sunday School Musical,Other,0,0,2,Yes,No,No,0.46049,5.5,4,10,2008,93,0
2378,Arbitrage,Drama,12000000,35485056,8,Yes,Yes,No,16.40512,6.1,294,9,2012,100,1
2379,Silent Hill: Revelation 3D,Thriller,20000000,52302796,2,No,Yes,No,23.292761,5,432,10,2012,94,1
2380,Go for It!,Drama,2450000,0,1,Yes,Yes,No,0.500753,4.6,5,5,2011,105,0
2381,Rise of the Planet of the Apes,Action,93000000,482860185,7,Yes,Yes,No,138.433168,7,4347,8,2011,105,1
2382,Anonymous,Drama,30000000,15395087,2,No,Yes,No,16.698316,6.3,288,10,2011,130,0
2383,Space Battleship Yamato,Other,12000000,11212294,13,No,No,No,5.158067,6.3,59,12,2010,131,0
2384,Good Deeds,Drama,0,0,0,Yes,Yes,No,4.448494,6.2,45,2,2012,111,0
2385,Mozart's Sister,Drama,0,0,1,No,No,Yes,0.774442,6.2,13,6,2010,120,0
