id,title,genre,budget,revenue,production_companies,united_states,english,title_change,popularity,vote_average,vote_count,month,year,runtime,successful
1,Finding Nemo,Animation,94000000,940335536,1,Yes,Yes,No,85.688789,7.6,6122,5,2003,100,1
2,Dancer in the Dark,Drama,12800000,40031879,26,Yes,Yes,No,22.022228,7.6,377,5,2000,140,1
3,My Life Without Me,Drama,0,9726954,2,No,Yes,No,7.958831,7.2,77,3,2003,106,1
4,Pirates of the Caribbean: The Curse of the Black Pearl,Action,140000000,655011224,2,Yes,Yes,No,271.972889,7.5,6985,7,2003,143,1
5,Kill Bill: Vol. 1,Action,30000000,180949000,3,Yes,Yes,No,79.754966,7.7,4949,10,2003,111,1
6,Jarhead,Drama,72000000,96889998,4,Yes,Yes,No,32.227223,6.6,765,11,2005,125,0
7,The Simpsons Movie,Animation,75000000,527068851,2,Yes,Yes,No,46.875375,6.9,2264,7,2007,87,1
8,Eternal Sunshine of the Spotless Mind,Drama,20000000,72258126,3,Yes,Yes,No,56.481487,7.9,3652,3,2004,108,1
9,Amores perros,Drama,2000000,20908467,2,No,No,No,23.281616,7.6,521,6,2000,154,1
10,Pirates of the Caribbean: Dead Man's Chest,Action,200000000,1065659812,3,Yes,Yes,No,145.847379,7,5246,6,2006,151,1
11,A History of Violence,Drama,32000000,60740827,3,Yes,Yes,No,34.628738,6.9,832,9,2005,96,0
12,8 Mile,Drama,41000000,215000000,2,Yes,Yes,No,32.798571,6.8,1626,11,2002,110,1
13,Walk the Line,Drama,28000000,186438883,5,Yes,Yes,No,35.580032,7.3,718,9,2005,136,1
14,Million Dollar Baby,Drama,30000000,216763646,5,Yes,Yes,No,70.456012,7.7,2439,12,2004,132,1
15,Billy Elliot,Drama,5000000,110000000,6,No,Yes,No,20.428237,7.4,750,5,2000,110,1
16,War of the Worlds,Thriller,132000000,591739379,4,Yes,Yes,No,48.572726,6.2,2322,6,2005,116,1
17,Memento,Thriller,9000000,39723096,4,Yes,Yes,No,60.715151,8.1,4028,10,2000,113,1
18,Hero,Action,31000000,177394432,2,No,No,Yes,23.607392,7.2,635,12,2002,99,1
19,Before Sunset,Drama,2700000,15992615,3,Yes,Yes,No,14.799323,7.6,718,2,2004,80,1
20,Open Water,Drama,130000,54667954,1,Yes,Yes,No,15.611857,5.4,315,8,2004,79,1
21,Gladiator,Action,103000000,457640427,7,Yes,Yes,No,95.301296,7.9,5439,5,2000,155,1
22,Snatch,Thriller,10000000,83557872,3,Yes,Yes,No,53.595686,7.7,2912,9,2000,103,1
23,Match Point,Drama,15000000,85306374,1,Yes,Yes,No,30.669913,7.3,1105,10,2005,124,1
24,Charlie and the Chocolate Factory,Comedy,150000000,474968763,6,Yes,Yes,No,53.905592,6.7,3624,7,2005,115,1
25,The Lord of the Rings: The Fellowship of the Ring,Action,93000000,871368364,3,Yes,Yes,No,138.049577,8,8705,12,2001,178,1
26,The Lord of the Rings: The Two Towers,Action,79000000,926287400,3,Yes,Yes,No,106.914973,8,7487,12,2002,179,1
27,The Lord of the Rings: The Return of the King,Action,94000000,1118888979,2,Yes,Yes,No,123.630332,8.1,8064,12,2003,201,1
28,Spirited Away,Animation,15000000,274925095,1,No,No,Yes,118.968562,8.3,3840,7,2001,125,1
29,"O Brother, Where Art Thou?",Action,26000000,71868327,5,Yes,Yes,No,39.742009,7.3,1112,8,2000,106,1
30,Donnie Darko,Drama,6000000,1270522,3,Yes,Yes,No,61.210016,7.7,3452,1,2001,113,0
31,Brokeback Mountain,Drama,14000000,178043761,4,Yes,Yes,No,44.135568,7.5,1480,9,2005,134,1
32,"Crouching Tiger, Hidden Dragon",Action,17000000,213525736,8,Yes,No,Yes,45.742254,7.2,927,10,2000,120,1
33,Lost in Translation,Drama,4000000,119723856,1,Yes,Yes,No,45.66662,7.3,1895,8,2003,102,1
34,The Dark Knight,Action,185000000,1004558444,5,Yes,Yes,No,187.322927,8.2,12002,7,2008,152,1
35,Ocean's Eleven,Thriller,85000000,450717150,6,Yes,Yes,No,60.929352,7.2,3783,12,2001,116,1
36,Ocean's Twelve,Thriller,110000000,362744280,5,Yes,Yes,No,76.840712,6.4,2124,12,2004,125,1
37,K-PAX,Drama,48000000,50315140,4,Yes,Yes,No,30.920075,7.1,695,10,2001,120,0
38,28 Days Later,Thriller,5000000,82719885,2,No,Yes,No,45.490374,7.1,1777,10,2002,113,1
39,Saw,Horror,1200000,103911669,4,Yes,Yes,No,63.655973,7.2,2184,10,2004,103,1
40,The Interpreter,Thriller,80000000,162944923,6,Yes,Yes,No,18.69984,6.2,392,4,2005,128,1
41,Minority Report,Action,102000000,358372926,7,Yes,Yes,No,65.948959,7.1,2608,6,2002,145,1
42,The Good German,Drama,32000000,5914908,3,Yes,Yes,No,5.347936,5.9,86,12,2006,108,0
43,Lucky Number Slevin,Drama,27000000,56308881,6,Yes,Yes,No,36.921445,7.4,1323,2,2006,110,1
44,Sin City,Action,40000000,158733820,3,Yes,Yes,No,66.003433,7.2,2691,4,2005,124,1
45,Sin City: A Dame to Kill For,Thriller,65000000,39407616,7,Yes,Yes,No,85.428395,6.3,1286,8,2014,102,0
46,Amélie,Comedy,10000000,173921954,9,No,No,Yes,73.720244,7.8,3310,4,2001,122,1
47,Star Trek: Nemesis,Action,60000000,67312826,1,Yes,Yes,No,21.605533,6.1,479,12,2002,117,0
48,Hotel Rwanda,Drama,17500000,38000000,8,Yes,Yes,No,28.60542,7.5,793,9,2004,121,1
49,Saw III,Thriller,10000000,163876815,3,Yes,Yes,No,33.124871,6.1,1071,10,2006,108,1
50,Saw II,Horror,4000000,152925093,5,Yes,Yes,No,42.187986,6.3,1251,10,2005,92,1
51,Indiana Jones and the Kingdom of the Crystal Skull,Action,185000000,786636033,2,Yes,Yes,No,75.674458,5.7,2495,5,2008,122,1
52,Volver,Drama,12899867,85582407,1,No,No,No,19.747809,7.3,406,3,2006,121,1
53,Syriana,Drama,50000000,94000000,6,Yes,Yes,No,16.871194,6.3,451,11,2005,128,0
54,High Fidelity,Drama,30000000,47126295,2,Yes,Yes,No,23.982956,7,628,3,2000,113,0
55,About a Boy,Drama,27000000,129000000,1,Yes,Yes,No,28.227984,6.6,607,4,2002,101,1
56,King Kong,Action,207000000,550000000,4,Yes,Yes,No,61.22601,6.6,2337,12,2005,187,1
57,Oliver Twist,Drama,50000000,42093706,3,No,Yes,No,20.415572,6.7,274,9,2005,130,0
58,Batman Begins,Action,150000000,374218673,6,Yes,Yes,No,115.040024,7.5,7359,6,2005,140,1
59,Underworld,Action,22000000,95708457,5,Yes,Yes,No,81.829237,6.6,2512,9,2003,121,1
60,Pirates of the Caribbean: At World's End,Action,300000000,961000000,3,Yes,Yes,No,139.082615,6.9,4500,5,2007,169,1
61,Riding Giants,Documentary,2600000,3166000,0,Yes,Yes,No,0.895946,7.6,23,7,2004,105,0
62,Dave Chappelle's Block Party,Comedy,3000000,11718595,1,Yes,Yes,No,1.697846,6.4,28,9,2005,100,1
63,Terminator 3: Rise of the Machines,Action,200000000,435000000,6,Yes,Yes,No,69.405188,5.9,2143,7,2003,109,1
64,Ocean's Thirteen,Thriller,85000000,311312624,4,Yes,Yes,No,42.069993,6.5,1999,6,2007,122,1
65,Swimming Pool,Thriller,7800000,22441323,6,No,Yes,No,11.000654,6.4,153,5,2003,102,1
66,Bruce Almighty,Comedy,80000000,484572835,4,Yes,Yes,No,109.684788,6.4,3012,5,2003,101,1
67,Catwoman,Action,100000000,82102379,6,Yes,Yes,No,32.271938,4.2,808,7,2004,104,0
68,Insomnia,Thriller,46000000,113714830,3,Yes,Yes,No,41.322708,6.8,1148,5,2002,118,1
69,Mambo Italiano,Comedy,4361898,3031801,1,No,Yes,No,2.080741,5.6,28,6,2003,92,0
70,Mystic River,Drama,25000000,156822020,4,Yes,Yes,No,31.242999,7.6,1422,10,2003,138,1
71,Snakes on a Plane,Action,33000000,62022014,1,Yes,Yes,No,19.642328,5.1,497,8,2006,105,0
72,Brother,Drama,12000000,15250000,6,Yes,Yes,No,5.327714,6.8,107,9,2000,114,0
73,Jurassic Park III,Action,93000000,368780809,2,Yes,Yes,No,1.859364,5.7,2077,7,2001,92,1
74,"Good bye, Lenin!",Drama,4800000,79384880,3,No,No,No,11.086001,7.4,586,2,2003,121,1
75,Summer Storm,Drama,2700000,0,1,No,No,Yes,3.120747,6.7,59,9,2004,98,0
76,The Devil Wears Prada,Drama,35000000,326551094,5,Yes,Yes,No,83.893257,7,3088,6,2006,109,1
77,Inside Man,Drama,45000000,184376254,3,Yes,Yes,No,45.220386,7.3,1630,3,2006,129,1
78,Chocolat,Drama,25000000,152500343,3,Yes,Yes,No,28.727731,6.8,951,12,2000,121,1
79,Kill Bill: Vol. 2,Action,30000000,152159461,3,Yes,Yes,No,50.622607,7.6,3948,4,2004,136,1
80,AVP: Alien vs. Predator,Action,70000000,171183863,11,Yes,Yes,No,42.957216,5.5,1217,8,2004,101,1
81,Capote,Drama,7000000,49084830,7,Yes,Yes,No,17.434862,6.8,384,9,2005,114,1
82,Garden State,Drama,2500000,26781723,5,Yes,Yes,No,30.583959,7.1,618,7,2004,102,1
83,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Fantasy,180000000,748806957,2,Yes,Yes,No,67.391328,6.7,2629,12,2005,143,1
84,The Life Aquatic with Steve Zissou,Drama,50000000,34808403,2,Yes,Yes,No,25.237969,7.1,775,12,2004,119,0
85,The Pianist,Drama,35000000,120072577,16,No,Yes,No,50.587541,8,1864,9,2002,150,1
86,Ice Age,Animation,59000000,383257136,3,Yes,Yes,No,99.561972,7.1,3857,3,2002,81,1
87,The Day After Tomorrow,Action,125000000,544272402,5,Yes,Yes,No,41.380094,6.2,2392,5,2004,124,1
88,Maria Full of Grace,Drama,0,0,3,Yes,Yes,Yes,3.027892,6.9,101,1,2004,101,0
89,Aliens vs Predator: Requiem,Action,40000000,41797066,4,Yes,Yes,No,39.381913,4.9,740,12,2007,94,0
90,A Beautiful Mind,Drama,60000000,313542341,3,Yes,Yes,No,59.248437,7.7,3009,12,2001,135,1
91,Bend It Like Beckham,Drama,3500159,76578641,4,Yes,Yes,No,22.054546,6.2,578,4,2002,112,1
92,Erin Brockovich,Drama,52000000,256271286,1,Yes,Yes,No,30.347332,7.1,716,3,2000,131,1
93,As It Is in Heaven,Drama,0,0,3,No,Yes,Yes,4.321249,6.9,42,9,2004,132,0
94,21 Grams,Drama,20000000,60427839,3,Yes,Yes,No,32.243357,7.2,918,9,2003,124,1
95,Shaft,Action,46000000,107196498,2,Yes,Yes,No,19.643365,5.5,308,6,2000,99,1
96,Monsoon Wedding,Drama,0,0,3,No,Yes,No,8.109958,6.8,57,8,2001,114,0
97,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Comedy,18000000,261572744,2,Yes,Yes,No,29.487784,6.5,1579,11,2006,82,1
98,Poseidon,Action,160000000,181674817,6,Yes,Yes,No,21.133748,5.5,583,5,2006,99,0
99,Monster,Drama,8000000,60378584,1,Yes,Yes,No,19.683187,7,485,11,2003,110,1
100,Love Actually,Drama,40000000,244931766,4,Yes,Yes,No,37.073127,7,1869,9,2003,135,1
101,Scoop,Comedy,4000000,31584901,4,No,Yes,No,17.229537,6.4,420,7,2006,96,1
102,The Curse of the Were-Rabbit,Animation,30000000,192452832,2,Yes,Yes,No,30.380747,6.8,643,9,2005,85,1
103,Terminator Salvation,Action,200000000,371353001,4,Yes,Yes,No,71.862892,5.9,2463,5,2009,115,0
104,D.E.B.S.,Action,3500000,0,4,Yes,Yes,No,6.396936,5.6,90,1,2004,91,0
105,The Crime of Padre Amaro,Drama,1800000,0,5,No,No,Yes,2.179428,6.2,36,10,2002,118,0
106,Transamerica,Drama,1000000,13350369,2,Yes,Yes,No,9.773398,6.9,144,12,2005,103,1
107,Spider-Man,Action,139000000,821708551,2,Yes,Yes,No,82.502566,6.8,5265,5,2002,121,1
108,Spider-Man 2,Action,200000000,783766341,3,Yes,Yes,No,35.149586,6.7,4321,6,2004,127,1
109,Spider-Man 3,Action,258000000,890871626,3,Yes,Yes,No,115.699814,5.9,3576,5,2007,139,1
110,The Lives of Others,Drama,2000000,70000000,4,No,No,Yes,34.938177,7.9,958,3,2006,137,1
111,2 Fast 2 Furious,Action,76000000,236350661,4,Yes,Yes,No,10.520961,6.2,2028,6,2003,107,1
112,"Monsters, Inc.",Animation,115000000,562816256,2,Yes,Yes,No,106.815545,7.5,5996,11,2001,92,1
113,Big Fish,Drama,70000000,122919055,4,Yes,Yes,No,46.199482,7.6,1994,12,2003,125,0
114,Silent Hill,Horror,50000000,97607453,4,Yes,Yes,No,32.927994,6.3,1067,4,2006,125,0
115,The Hours,Drama,25000000,41597830,3,Yes,Yes,No,20.953265,7,451,12,2002,114,0
116,The Da Vinci Code,Thriller,125000000,767820459,4,Yes,Yes,No,45.313197,6.5,2704,5,2006,149,1
117,The Terminal,Drama,60000000,219417255,3,Yes,Yes,No,57.753914,7,1910,6,2004,128,1
118,City of God,Drama,3300000,30641770,7,No,No,Yes,44.356711,8.1,1814,2,2002,130,1
119,The Matrix Reloaded,Action,150000000,738599701,5,Yes,Yes,No,70.78591,6.7,3443,5,2003,138,1
120,The Matrix Revolutions,Action,150000000,424988211,4,Yes,Yes,No,73.313918,6.4,3096,11,2003,129,1
121,Men in Black II,Action,140000000,441818803,4,Yes,Yes,No,91.332849,6,3114,7,2002,88,1
122,Munich,Action,70000000,130358911,7,Yes,Yes,No,29.035222,6.9,696,12,2005,164,0
123,Downfall,Drama,18339750,92180910,7,No,No,Yes,32.445895,7.7,1037,9,2004,156,1
124,The Passion of the Christ,Drama,30000000,611899420,2,Yes,No,No,38.171417,6.9,864,2,2004,127,1
125,The Last Samurai,Action,140000000,456758981,4,Yes,Yes,No,52.341226,7.3,1895,12,2003,154,1
126,Bridget Jones's Diary,Drama,25000000,281929795,5,Yes,Yes,No,35.310712,6.5,1356,4,2001,97,1
127,Catch Me If You Can,Drama,52000000,352114312,3,Yes,Yes,No,73.944049,7.7,3795,12,2002,141,1
128,Requiem for a Dream,Drama,4500000,7390108,1,Yes,Yes,No,11.573034,7.9,2443,10,2000,102,0
129,A.I. Artificial Intelligence,Drama,100000000,235926552,4,Yes,Yes,No,34.035114,6.8,1974,6,2001,146,1
130,Troy,Drama,175000000,497409852,6,Yes,Yes,No,66.803149,6.9,2759,5,2004,163,1
131,Saw IV,Thriller,10000000,139352633,2,Yes,Yes,No,29.244768,5.9,903,10,2007,93,1
132,Oldboy,Action,3000000,14980005,2,No,No,Yes,56.76349,8,1945,1,2003,120,1
133,Harry Potter and the Philosopher's Stone,Fantasy,125000000,976475550,3,Yes,Yes,No,109.984351,7.5,7006,11,2001,152,1
134,Harry Potter and the Chamber of Secrets,Fantasy,100000000,876688482,3,Yes,Yes,No,132.397737,7.4,5815,11,2002,161,1
135,Harry Potter and the Prisoner of Azkaban,Fantasy,130000000,789804554,3,Yes,Yes,No,79.679601,7.7,5877,5,2004,141,1
136,Harry Potter and the Goblet of Fire,Fantasy,150000000,895921036,3,Yes,Yes,No,101.250416,7.5,5608,11,2005,157,1
137,Harry Potter and the Order of the Phoenix,Fantasy,150000000,938212738,2,Yes,Yes,No,78.144395,7.4,5494,6,2007,138,1
138,Pearl Harbor,Romance,140000000,449220945,2,Yes,Yes,No,34.20669,6.6,1791,5,2001,183,1
139,Meet the Fockers,Comedy,80000000,516642939,4,Yes,Yes,No,32.829538,6.1,1373,12,2004,115,1
140,Finding Forrester,Drama,43000000,80049764,4,Yes,Yes,No,19.043286,7,302,12,2000,136,0
141,Shaun of the Dead,Comedy,4000000,30039392,8,Yes,Yes,No,49.12486,7.5,2420,4,2004,99,1
142,V for Vendetta,Action,54000000,132511035,8,Yes,Yes,No,84.630969,7.7,4442,3,2006,132,1
143,Harry Potter and the Half-Blood Prince,Fantasy,250000000,933959197,2,Yes,Yes,No,98.885637,7.4,5293,7,2009,153,1
144,From Hell,Thriller,35000000,74558115,2,No,Yes,No,26.134678,6.6,741,10,2001,122,1
145,Little Miss Sunshine,Drama,8000000,100523181,3,Yes,Yes,No,14.793177,7.5,1686,7,2006,102,1
146,Almost Famous,Drama,60000000,47383689,3,Yes,Yes,No,21.547446,7.4,797,9,2000,122,0
147,Mr. & Mrs. Smith,Action,110000000,478207520,5,Yes,Yes,No,44.635452,6.5,2965,6,2005,120,1
148,Shrek,Animation,60000000,484409218,3,Yes,Yes,No,67.298732,7.3,4056,5,2001,90,1
149,Shrek 2,Animation,150000000,919838758,3,Yes,Yes,No,47.320801,6.7,2988,5,2004,93,1
150,Shrek the Third,Animation,160000000,798958165,2,Yes,No,No,42.986467,6,2278,5,2007,93,1
151,Austin Powers in Goldmember,Comedy,63000000,296655431,5,Yes,Yes,No,40.137264,5.9,979,7,2002,94,1
152,Moulin Rouge!,Drama,52500000,179213434,2,Yes,Yes,No,57.374341,7.4,1300,3,2001,127,1
153,Underworld: Evolution,Action,50000000,111340801,2,Yes,Yes,No,49.020045,6.4,1528,1,2006,106,1
154,2046,Drama,12000000,19271312,4,No,No,No,12.664787,6.9,206,5,2004,129,0
155,Enemy at the Gates,Other,68000000,96976270,8,Yes,Yes,No,41.273567,7.2,999,3,2001,131,0
156,Black Hawk Down,Action,92000000,172989651,3,Yes,Yes,No,44.455166,7.2,1811,12,2001,144,0
157,Finding Neverland,Drama,25000000,116766556,2,Yes,Yes,No,34.160448,7.2,1223,10,2004,106,1
158,Tsotsi,Drama,3000000,9879971,4,No,No,No,2.504169,6.9,94,8,2005,94,1
159,Planet of the Apes,Action,100000000,362211740,3,Yes,Yes,No,51.188633,5.6,1243,7,2001,119,1
160,The Flintstones in Viva Rock Vegas,Comedy,83000000,59468275,2,Yes,Yes,No,6.248309,4.4,134,4,2000,90,0
161,Cars,Animation,120000000,461983149,2,Yes,Yes,No,82.643036,6.6,3877,6,2006,117,1
162,Cinderella Man,Drama,88000000,108539911,5,Yes,Yes,No,24.100863,7.3,616,6,2005,144,0
163,Dawn of the Dead,Action,28000000,102356381,5,Yes,Yes,No,44.529429,6.8,1016,3,2004,101,1
164,Ice Age: The Meltdown,Animation,80000000,660940780,2,Yes,Yes,No,85.115058,6.5,2951,3,2006,91,1
165,Madagascar,Animation,75000000,532680671,3,Yes,Yes,No,48.110909,6.6,3237,5,2005,86,1
166,Mission: Impossible II,Action,125000000,546388105,3,Yes,Yes,No,54.931334,5.9,1928,5,2000,123,1
167,Mission: Impossible III,Action,150000000,397850012,7,Yes,Yes,No,63.079003,6.5,2028,5,2006,126,1
168,Irreversible,Drama,0,792,7,No,No,Yes,32.476098,7.1,538,5,2002,97,1
169,Mulholland Drive,Drama,15000000,20117339,5,Yes,Yes,No,31.60985,7.6,1477,5,2001,147,0
170,Whale Rider,Drama,8000000,41400000,1,No,Yes,No,12.439495,7.1,111,1,2003,101,1
171,The Wind That Shakes the Barley,Drama,6500000,22889018,16,No,Yes,No,6.787967,7.1,154,5,2006,124,1
172,Catch a Fire,Action,0,4291965,3,Yes,Yes,No,4.052219,6.4,25,10,2006,101,1
173,The Prestige,Drama,40000000,109676311,3,Yes,Yes,No,74.440708,8,4391,10,2006,130,1
174,Dreamgirls,Drama,70000000,154937680,3,Yes,Yes,No,14.486311,6.6,284,12,2006,134,1
175,Babel,Drama,25000000,135330182,4,Yes,Yes,No,25.785925,6.9,1055,9,2006,143,1
176,The Queen,Drama,15000000,123384128,8,Yes,Yes,No,19.113278,6.8,338,9,2006,103,1
177,Rocky Balboa,Drama,24000000,155721132,4,Yes,Yes,No,30.445257,6.5,835,12,2006,102,1
178,Hannibal Rising,Drama,50000000,82169884,7,No,Yes,No,6.567065,6,654,2,2007,121,0
179,Ghost Rider,Action,110000000,228738393,7,Yes,Yes,No,46.834704,5.2,1712,2,2007,114,1
180,Letters from Iwo Jima,Action,19000000,68673228,4,Yes,Yes,No,24.47248,7.2,541,12,2006,141,1
181,The Host,Drama,11000000,88489643,4,No,No,Yes,27.65527,6.7,537,7,2006,119,1
182,Because I Said So,Comedy,0,69485490,2,Yes,Yes,No,18.678415,5.8,191,2,2007,102,1
183,Notes on a Scandal,Drama,15000000,49469904,6,No,Yes,No,12.576381,6.9,235,12,2006,92,1
184,Stranger Than Fiction,Drama,30000000,53653224,2,Yes,Yes,No,32.26789,7.1,721,9,2006,113,0
185,Bridge to Terabithia,Drama,60000000,137587063,3,Yes,Yes,No,40.646102,7,1113,2,2007,96,1
186,Street Kings,Action,20000000,65569869,4,Yes,Yes,No,18.666876,6.3,363,4,2008,109,1
187,Mr. Bean's Holiday,Comedy,25000000,229736344,2,No,Yes,No,27.683874,6.1,663,3,2007,90,1
188,300,Action,65000000,422610419,7,Yes,Yes,No,65.197968,7,4997,12,2006,117,1
189,Sunshine,Thriller,50000000,32017803,4,Yes,Yes,No,51.502884,7,1182,4,2007,107,0
190,TMNT,Animation,34000000,95608995,5,Yes,Yes,No,18.39217,6,345,3,2007,90,1
191,Dogtown and Z-Boys,Documentary,0,0,2,Yes,Yes,No,3.291609,7.2,52,1,2001,91,0
192,American Psycho,Drama,7000000,34266564,3,Yes,Yes,No,45.310443,7.3,2066,4,2000,102,1
193,Frida,Drama,12000000,56298474,4,Yes,Yes,No,18.422327,7.3,383,8,2002,123,1
194,Monster's Ball,Drama,4000000,44909486,2,Yes,Yes,No,14.042041,6.5,250,11,2001,111,1
195,Blood Diamond,Action,100000000,170877916,7,Yes,Yes,No,52.792678,7.3,2281,12,2006,143,0
196,Shortbus,Drama,2000000,5179037,3,Yes,Yes,No,14.846001,6.3,140,5,2006,101,1
197,The Fountain,Drama,35000000,15304890,5,Yes,Yes,No,24.606012,6.8,827,9,2006,96,0
198,Me and You and Everyone We Know,Drama,0,0,1,Yes,Yes,No,9.719094,7,107,6,2005,90,0
199,Y Tu Mamá También,Drama,5000000,33616692,3,No,No,No,16.890285,7.3,315,6,2001,106,1
200,The Pursuit of Happyness,Drama,55000000,307077295,4,Yes,Yes,No,80.581367,7.7,2525,12,2006,117,1
201,Party Monster,Drama,5000000,742898,1,Yes,Yes,No,4.129165,5.9,58,9,2003,98,0
202,Pan's Labyrinth,Drama,19000000,83258226,3,Yes,No,Yes,90.809408,7.6,3041,5,2006,118,1
203,The Departed,Drama,90000000,289847354,5,Yes,Yes,No,63.429157,7.9,4339,10,2006,151,1
204,November,Drama,0,0,1,Yes,Yes,No,5.742359,4.9,11,7,2004,73,0
205,Perfume: The Story of a Murderer,Drama,50000000,132180323,7,No,Yes,No,42.551902,7.1,1165,9,2006,147,1
206,Once Upon a Time in Mexico,Action,29000000,98185582,3,Yes,Yes,No,27.555646,6.2,594,9,2003,102,1
207,25th Hour,Drama,15000000,13060843,2,Yes,Yes,No,30.196039,7.2,629,12,2002,135,0
208,Bowling for Columbine,Documentary,4000000,35564473,7,Yes,Yes,No,11.414843,7.3,453,10,2002,120,1
209,Tarnation,Drama,218,1162014,0,Yes,Yes,No,1.063439,7.5,22,10,2003,91,1
210,Little Children,Drama,26000000,14821658,3,Yes,Yes,No,11.942862,6.9,240,10,2006,136,0
211,Superman Returns,Action,270000000,391081192,4,Yes,Yes,No,57.925623,5.4,1400,6,2006,154,0
212,Hellboy,Action,66000000,99318987,4,Yes,Yes,No,47.479755,6.5,2225,4,2004,122,0
213,The Illusionist,Drama,40000000,86915017,6,Yes,Yes,No,36.960953,7.1,1615,8,2006,110,1
214,Miss Congeniality,Action,45000000,212000000,4,Yes,Yes,No,32.624355,6.1,961,12,2000,111,1
215,Curse of the Golden Flower,Action,110,0,1,No,No,Yes,9.950505,6.6,203,12,2006,114,0
216,Kingdom of Heaven,Action,130000000,211643158,10,Yes,Yes,No,44.490453,6.6,1157,5,2005,144,0
217,The Last King of Scotland,Drama,6000000,48027970,8,Yes,Yes,No,26.286954,7.4,558,9,2006,121,1
218,Spy Game,Action,92000000,143049560,6,Yes,Yes,No,27.166757,6.8,579,11,2001,126,0
219,Changing Lanes,Action,45000000,94935764,1,Yes,Yes,No,17.270539,5.9,299,4,2002,89,1
220,Collateral,Drama,65000000,217764291,4,Yes,Yes,No,44.815022,7,1451,8,2004,120,1
221,Imagine Me & You,Drama,0,2455831,9,Yes,Yes,No,9.100352,7,177,2,2005,93,1
222,Thumbsucker,Drama,0,1919197,2,Yes,Yes,No,4.757625,6.1,67,1,2005,96,1
223,Ghost World,Drama,7000000,0,5,Yes,Yes,No,14.072941,7.1,426,7,2001,111,0
224,Pieces of April,Drama,300000,0,2,Yes,Yes,No,4.270596,6.4,64,1,2003,81,0
225,The Spanish Apartment,Drama,5300000,3897799,1,No,Yes,Yes,13.034602,7,266,5,2002,122,0
226,28 Weeks Later,Thriller,15000000,64238440,6,No,Yes,No,34.759855,6.5,1197,4,2007,100,1
227,Live Free or Die Hard,Action,110000000,383531464,5,Yes,Yes,No,48.93337,6.4,2089,6,2007,128,1
228,Chicago,Action,45000000,306776732,3,Yes,Yes,No,32.217425,6.9,677,12,2002,113,1
229,Resident Evil,Action,33000000,102984862,4,Yes,Yes,No,40.715623,6.4,2065,3,2002,100,1
230,Resident Evil: Apocalypse,Action,45000000,129394835,2,Yes,Yes,No,29.880122,6.1,1267,9,2004,94,1
231,Apocalypto,Action,40000000,120175290,3,Yes,Yes,No,41.570047,7.3,1221,12,2006,139,1
232,The Holiday,Comedy,85000000,194168700,4,Yes,Yes,No,44.967453,6.7,1225,12,2006,136,1
233,School of Rock,Comedy,35000000,131282949,6,Yes,Yes,No,43.057323,6.7,1414,10,2003,108,1
234,Secret Window,Thriller,40000000,92913171,4,Yes,Yes,No,32.908414,6.4,972,3,2004,96,1
235,Bring It On,Comedy,28000000,90449929,1,Yes,Yes,No,14.754281,5.8,568,8,2000,98,1
236,Copying Beethoven,Drama,11000000,0,2,Yes,No,No,5.062687,6.2,42,9,2006,104,0
237,Nowhere in Africa,Drama,0,0,4,No,Yes,Yes,3.481517,7,32,12,2001,140,0
238,Night at the Museum,Action,110000000,574480841,4,Yes,Yes,No,48.780039,6.3,2862,10,2006,108,1
239,Meet the Parents,Comedy,55000000,330444045,4,Yes,Yes,No,29.97224,6.6,1698,10,2000,108,1
240,I Heart Huckabees,Comedy,22000000,0,6,Yes,Yes,No,14.925633,6.2,239,9,2004,106,0
241,The 51st State,Action,28,14,9,No,Yes,No,9.670031,5.9,173,12,2001,93,0
242,The Way of the Gun,Action,8500000,19125401,0,Yes,Yes,No,8.775844,6.4,100,9,2000,119,1
243,Hitman,Action,24000000,99965753,6,Yes,Yes,No,42.669304,5.9,966,11,2007,89,1
244,The Island,Action,126000000,162949164,3,Yes,Yes,No,37.68056,6.5,1770,7,2005,136,0
245,Bedazzled,Comedy,48000000,90383208,3,Yes,Yes,No,19.348007,5.6,512,10,2000,93,0
246,Crash,Drama,6500000,98410061,7,Yes,Yes,No,28.223163,7.2,1149,1,2004,112,1
247,Freedom Writers,Drama,21000000,41170784,3,Yes,Yes,No,17.746981,7.5,356,1,2007,123,0
248,The Legend of Zorro,Action,75000000,142400065,2,Yes,Yes,No,31.054334,5.9,893,10,2005,129,0
249,March of the Penguins,Documentary,8000000,127392239,7,No,Yes,Yes,17.537154,6.9,358,1,2005,80,1
250,Ray,Drama,40000000,124731534,4,Yes,Yes,No,21.743321,7.2,467,10,2004,152,1
251,The Reaping,Horror,40000000,62771059,5,Yes,Yes,No,13.445697,5.4,205,4,2007,99,0
252,Hostel,Horror,4800000,80578934,6,Yes,Yes,No,38.83192,5.7,887,1,2005,94,1
253,Hostel: Part II,Horror,10200000,35619521,3,Yes,Yes,No,20.745052,5.6,453,6,2007,93,1
254,The Devil's Rejects,Drama,0,0,4,Yes,Yes,No,16.754452,6.6,322,7,2005,107,0
255,Anatomy,Thriller,0,0,1,No,No,Yes,5.025938,6.1,61,2,2000,103,0
